Main Title,Link,Summary,Sub Headings,Content
Haiti’s destiny ‘bright’ despite terrifying escalation of violence,https://news.un.org/en/story/2024/12/1158481,"Offering Haiti’s young people alternatives to gang life and strengthening local institutions are key for the Caribbean nation to “reclaim its position as a symbol of hope,” according to a senior UN official in the country.",,"Haiti is faced with a multifaceted crisis including rising gang violence, political instability, the displacement of over 700,000 people as well as widespread hunger. UNICEF has reported a sharp increase in the recruitment of minors by armed gangs, with the number of child recruits rising by 70 per cent in the past year. Ulrika Richardson, the UN Resident and Humanitarian Coordinator for Haiti, spoke with UN News about what the United Nations is doing to support the Haitian people. This interview has been edited for clarity and brevity UN News: How would you describe the current situation in the country? Ulrika Richardson: There has been a terrifying escalation of violence in certain parts of Haiti, which is tearing at the very fabric of society. There have been horrific massacres in the last three months of the year both in the capital Port-au-Prince, but also in near-by l’Artibonite. These brutal acts of dehumanization will only deepen the collective trauma of the Haitian people. We cannot ignore this reality. We must centre these horrific events in our response, urgently expanding mental health and psychosocial support programmes, and integrating them into our long-term plan for stability. As the UN we are committed to staying in Haiti to help the most vulnerable people through the current crisis. We need to protect people currently in extremely vulnerable situations, particularly in Port-au-Prince, where security forces simply do not have the capacity to protect citizens. This means supporting the hundreds of thousands of internally displaced people. Families have fled their homes, often multiple times so we can start to imagine the magnitude of the wound they carry, and we must ensure they live in decent conditions. So, at the moment, security is a prerequisite before addressing humanitarian challenges and then looking at a durable recovery. UN News: It seems that every step you've taken, there have been two steps back. The deployment of the Multinational Security Support Mission appears to have stalled. Ulrika Richardson: Of course, we are hoping that the situation improves. We will never give up hope and are working closely with the government, transitional authorities, civil society, and the private sector to make 2025 a better year than 2024. Despite strong leadership from Kenya with the non-UN multinational security support mission (MSS), which we really applaud, the mission is still in a pre-deployment phase because of a lack of sufficient funding from the international community. We have received important contributions, but they are very limited, so much more is needed. Additional support is on the way. We have just heard that the MSS [mission] will receive more uniformed personnel and equipment. This move underscores the continued commitment to enhancing security in the country, a critical step toward advancing both humanitarian and development efforts in Haiti. How important is security to political stability? Haiti’s government is committed to its ambitious electoral agenda, including constitutional reform, which requires investment in economic recovery and social peace. Security is essential to creating an environment where citizens can and want to vote. But there needs to be a doubling of efforts from UN Member States on all fronts today, not tomorrow, when it’s too late. Haiti’s destiny is as bright as any other country. It needs to reclaim its position in the world as a symbol of hope, independence and freedom. There have been a lot of mistakes, but we need to learn from yesterday and see how we can improve things. UN News: Could you expand on these mistakes? Ulrika Richardson: If you look at economic incentives, why hasn't there been investment into productive capacities of the country? Right now, insecurity has discouraged foreign investors because they need to have some type of guarantee of stability. However, after the 2010 earthquake, there were a lot of investments, hardly seen anywhere before for a country of that size. But how much of that was invested back into strengthening Haitian institutions? Equally important is ensuring that Haitians lead this process. I speak as someone who is not Haitian but as the UN in Haiti and recognising Haiti’s historic role as a founding UN Member State. So, our engagement is guided by deep respect for Haitian leadership and the vision of its people. UN News: Talking about the future, the first thing that comes to mind is youth. And youth in Haiti is at the centre of discussions around development and security. What step do you see as critical in the next year to empowering them and preventing their recruitment into armed gangs? Opportunities. They need to have alternatives. We have, and need to continue to work on what these alternatives are. We want young people and children to be able to transition into being members of the community. Some young people are coerced into joining gangs and there is an explanation for this. If you can't leave the capital because finding a job somewhere else means that you risk your life on gang-controlled roads and there is no job opportunity where you live, your parents may have been killed, and education is not an option, what do we expect them to do? Many children from the age of eight are currently recruited by gangs to run errands, to be their informers. Unfortunately, arms trafficking continues to happen despite the sanctions regime. We need to have a process in place and a much better response rate from neighbouring actors. This is not impossible, there are human resources out there and a lot of creativity and desire to create something better for the country than in the past."
Gaza: Ongoing civilian casualties amid aid challenges,https://news.un.org/en/story/2024/12/1158566,"Civilian casualties and injuries continue to be reported across Gaza due to the ongoing hostilities, with most families unable to afford basic food as the humanitarian situation deteriorates, a UN spokesperson reported on Thursday. In Lebanon, the UN peacekeeping mission in the south of the country urged both Israel and Lebanon to prevent any actions that could threaten the fragile ceasefire.",UN Mission urges protection of ceasefire in Lebanon,"The relentless fighting in the Gaza Strip, which began last October, continues to cause widespread destruction and drive displacement, according to a note issued by the UN Spokesperson’s Office. “The Office for the Coordination of Humanitarian Affairs (OCHA) stresses once again that civilians and civilian infrastructure, including hospitals, must be protected and spared from attacks,” the note stated. The note also cited reports that Israeli authorities continue to deny and impede aid missions across the war-ravaged enclave. “Out of 12 UN requests for coordinated humanitarian movements yesterday, six requests were denied outright, three were cancelled by the organizers due to security or logistical challenges, one was approved but faced impediments, and two others were facilitated and accomplished,” the note stated. “One attempt to reach besieged parts of North Gaza governorate was denied yesterday and another one today,” it added. Despite access restrictions and insecurity, aid organizations are working tirelessly to assist the most vulnerable as the humanitarian crisis in Gaza worsens. With most families unable to afford basic food, prices have skyrocketed. Reports indicate that a 25-kilogram bag of wheat flour is now priced between $160 and $190. “Humanitarian partners working to address hunger in Gaza estimate that as of mid-December, 10,000 metric tonnes of wheat flour are needed to distribute one bag of flour to all families in Deir al Balah, Khan Younis and Rafah,” the note said. “Without this, food insecurity in central and southern areas of the Strip will only worsen.” Meanwhile, the UN Interim Force in Lebanon (UNIFIL) stressed that any actions threatening the fragile cessation of hostilities, agreed last month between Israel and Lebanon, must cease. “Israel and Lebanon have recommitted to full implementation of Security Council resolution 1701,” UNIFIL in a statement, calling on both parties to use the newly established Mechanism as agreed to address outstanding issues. UNIFIL also called for the timely withdrawal of the Israel Defense Forces (IDF) and the deployment of the Lebanese Armed Forces (LAF) in southern Lebanon as part of the full implementation of the resolution as a comprehensive path toward peace. It also noted concern over destruction caused by the IDF in residential areas, agricultural land and road networks in southern Lebanon, adding that such actions violate resolution 1701. “UNIFIL stands ready to play its role in supporting both countries meet their obligations and monitoring progress,” the Mission said. “This includes ensuring the area south of the Litani River is free of any armed personnel, assets or weapons other than those of the Government of Lebanon and UNIFIL as well as respect for the Blue Line.” It added that UN peacekeepers will continue their mandated tasks, including monitoring and reporting all violations of resolution 1701 to the Security Council."
Indian Ocean tsunami anniversary: A call to safeguard future generations,https://news.un.org/en/story/2024/12/1158556,"On the sombre twentieth anniversary of the Indian Ocean tsunami, a disaster that claimed over 230,000 lives across 14 nations, UN officials on Thursday called for a renewed global commitment to safeguard future generations from similar catastrophes.",A wake-up call for humanity; Progress through global collaboration; Climate change amplifying risks; We must do more; Indian Ocean tsunami: Survivors recall the fateful day,"On Boxing Day – 26 December 2004, a 9.1-magnitude earthquake struck off the coast of Indonesia, unleashing a massive tsunami that swept across the Indian Ocean. Waves as high as 51 meters (167 feet) inundated communities in Aceh, Indonesia, with flooding extending up to five kilometres (three miles) inland. The devastation spread across Thailand, Sri Lanka, Maldives and India, with tsunami waves travelling at speeds of 800 kilometres per hour (500 miles per hour). The impacts extended to Somalia and Tanzania, and waves reached as far afield as Mexico, Chile and even the Arctic. In addition to the lives lost, more than 1.7 million people were displaced, and the economic toll reached an estimated $10 billion. Children bore a particularly heavy toll, with thousands killed or orphaned. Philémon Yang, President of the UN General Assembly, described the tsunami as “the first global disaster of the 21st century and one of the most devastating in recent history.” He urged nations to reaffirm their resolve to protect future generations and integrate disaster preparedness and resilience into sustainable development strategies. Kamal Kishore, UN Special Representative for Disaster Risk Reduction, called the tsunami a “wake-up call for humanity”. “It really showed us how such low-frequency, high-impact hazards, can have impacts that will ripple across the entire global system and across multiple geographies,” he said. The tragedy also catalysed unprecedented global collaboration. “Following the Indian Ocean tsunami in 2004, it was evident that transboundary problems require solutions that reach across borders,” emphasised Armida Salsiah Alisjahbana, the Executive Secretary of the UN Economic and Social Commission for Asia and the Pacific (ESCAP). In the two decades since the tragedy, working together the international community has made significant strides in disaster preparedness. In 2005, nations convened under the Intergovernmental Oceanographic Commission of UNESCO (IOC-UNESCO) to establish the Indian Ocean Tsunami Warning and Mitigation System (IOTWMS). Today, 27 national tsunami warning centers can issue alerts within minutes of seismic events. Compared to just 25 per cent in 2004, over 75 per cent of coastal communities in high-risk areas now have access to tsunami early warning information, according to the UN Economic and Social Commission for Asia and the Pacific (ESCAP). Furthermore, UN initiatives like the Tsunami Ready Programme and the Tsunami Project continue to empower local leaders and communities with life-saving knowledge and resources. Similarly, the Multi-Donor Trust Fund for Tsunami, Disaster and Climate Preparedness is developing vital early warning systems for all. However, challenges have also grown more complex. Climate change is amplifying the frequency and severity of water-related disasters, often cascading with and compounding geophysical events like earthquakes and volcanoes. ESCAP estimates that 68 million people in 43 Asian and Pacific countries, along with $2.3 trillion in infrastructure along coasts, remain at significant risk. In the Indian Ocean basin alone, over 2,600 educational facilities, 1,200 ports, and 140 power plants are vulnerable. Mr. Kishore underscored the need for sustained awareness and preparation. “We have to continue to keep the awareness of Tsunami risk high,” he said. “It is crucial that we do not forget the 2004 Indian Ocean tsunami, and continue to do everything we can to protect ourselves, our children and our future generations from the impact of future tsunamis.”"
"World News in Brief: Civilian killings in Afghanistan, Kazakhstan air crash, more Syrian refugees return home",https://news.un.org/en/story/2024/12/1158551,"The UN Assistance Mission in Afghanistan (UNAMA), said in a social media post on Thursday that it had received credible reports that dozens of civilians, including women and children, were killed in airstrikes by Pakistan’s military forces in Paktika province, on 24 December.",Kazakhstan air crash: UN condolences; Syria: Refugee returns continue,"The Mission has called for an investigation to “ensure accountability, prevent recurrence and uphold victims' rights”, noting that international law obliges military forces to take necessary precautions to prevent civilian harm, including distinguishing between civilians and combatants in operations. The UN children’s agency, UNICEF, also expressed concern over reports that at least 20 children were among those killed in the attack. “Our sincere condolences to those who have lost loved ones. Children are not and must never be a target,” Sanjay Wijesekera, UNICEF Regional Director for South Asia said. According to media reports, 38 people were killed in the Azerbaijan Airlines flight from Baku to Grozny that crashed in western Kazakhstan on Wednesday. The spokesperson of the UN Secretary-General António Guterres released a statement late on Wednesday, expressing his sadness at the news, and his condolences to the families of those killed, who included citizens of Azerbaijan, Kazakhstan, the Kyrgyz Republic, and Russia. The International Civil Aviation Authority, the UN agency for global airspace cooperation, expressed sadness at the loss of life in a social media post, as did UNICEF. According to media reports, Hayat-Tahrir al-Sham (HTS), the de facto authorities in Syria have named Anas Khattab as head of the intelligence services. Mr. Khattab is currently subject to UN sanctions, as a result of his association with Al Qaida. HTS is also sanctioned by the UN, following a 2015 resolution which calls on Member States to “prevent and suppress terrorist acts committed specifically by” HTS’s predecessor, the Al-Nusra Front”. The devastating, long-running civil war in Syria caused millions to flee the country: since the fall of Bashar al-Assad on 8 December, thousands of refugees have begun to return, Filippo Grandi, the UN High Commissioner for Refugees, said on Thursday. Meanwhile, the UN aid coordination office, OCHA, has reported that, whilst food is in short supply in some areas of the country, bread production and distribution have generally normalized. The World Food Programme (WFP) noted on Thursday that it has more access routes to areas across the country that were inaccessible under the Assad regime, access that will contribute to saving the lives of millions of Syrians."
"UN chief condemns escalation in Yemen as airstrikes hit Sana’a Airport, key infrastructure",https://news.un.org/en/story/2024/12/1158546,"The UN Secretary-General on Thursday condemned the deadly escalation between Yemen and Israel, following Israeli airstrikes that reportedly killed at least three people, injured dozens, and struck critical civilian infrastructure, including Sana’a International Airport.",Respect international law; WHO head’s first-hand account,"The strikes targeted Sana’a International Airport, Red Sea ports, and power stations, injuring also a member of the UN Humanitarian Air Crew at the airport. A high-level UN delegation, led by World Health Organization (WHO) Director-General Tedros Adhanom Ghebreyesus, was at the airport when the strikes occurred, following discussions on Yemen’s humanitarian crisis and the release of detained UN personnel. “Today’s airstrikes follow around a year of escalatory actions by the Houthis in the Red Sea and the region that threaten civilians, regional stability and freedom of maritime navigation,” Stéphanie Tremblay, a UN spokesperson, said in a statement. She added that Secretary-General António Guterres remains deeply concerned about the risk of further escalation and has urged all parties to cease military actions and exercise restraint. “He also warns that airstrikes on Red Sea ports and Sana’a airport pose grave risks to humanitarian operations at a time when millions of people are in need of life-saving assistance,” Ms. Tremblay said. Mr. Guterres also emphasised that international law, including humanitarian law as applicable, must be respected at all times, and appealed to all to respect and protect civilians and civilian infrastructure. “Humanitarian relief personnel must not be targeted and must be respected and protected at all times,” the statement read. Further escalation in the region also continues to undermine the mediation efforts led by the Special Envoy of the Secretary-General for Yemen Hans Grundberg to reach a negotiated political solution to the conflict in Yemen, it added. WHO Director-General Tedros Adhanom Ghebreyesus, who was at Sana’a airport during the airstrikes, described the scene on social media. “As we were about to board our flight from Sana’a…the airport came under aerial bombardment,” he wrote. The strikes damaged the air traffic control tower and the departure lounge, just meters from where Tedros and his team stood. “We will need to wait for the damage to the airport to be repaired before we can leave. My UN and WHO colleagues and I are safe,” he said, adding condolences to families who lost loved ones in the attack."
Southeast Asia provides fertile ground for women to benefit from AI,https://news.un.org/en/story/2024/12/1158226,"Artificial intelligence or AI technology can help to protect vulnerable women, give women a voice in male-dominated communities and increase training opportunities in Southeast Asia thanks to innovative approaches by United Nations agencies.",The Philippines: Training entrepreneurs in remote areas; Thailand: Protection for vulnerable women and girls; Indonesia: A stronger voice in the community; Reforming the UN,"With AI enabled technology becoming commonplace, the UN System is beginning to take advantage of the latest digital tools to bring gender equality closer to reality Southeast Asia, a middle-income region with widespread internet coverage and relatively high digital literacy levels, is fertile ground for AI enabled development. Here are three examples of initiatives that could help large numbers of women in their private and professional lives in the coming years. The Philippines is made up of an archipelago of thousands of islands that can be costly and difficult to reach from the country’s urban centres. This has meant that inhabitants of the more remote islands have often not been able to fully benefit from training opportunities offered by the UN and its partners. Since December 2023, however, the International Labour Organization (ILO) has been supporting business owners, particularly women entrepreneurs, with the help of the latest AI chatbots. “In many cases, trainers no longer need to travel to remote villages in far-flung islands and mountains,” says ILO Technical Specialist Hideki Kagohashi. “The trainer is a mobile phone chatbot.” On Siargao Island, this chatbot is providing women selling coconut products with technical advice, and helping women entrepreneurs create digital marketing posts for Facebook, drastically reducing the time needed for daily posting from a few hours to just 10-20 minutes. “Previously entrepreneurs often stopped posting because it took too much time over too long of a period to have demonstratable results,” Kagohashi explains. “But now with generative AI they can swiftly create higher quality content with relevant picture or video, more varied posts daily, complete with audience targeting for tone and content, leading to higher online engagement and increased sales.” The project is still in pilot phase, but ILO and its partners will scale up AI-enabled coaching to reach at least 15,000 small and medium-sized businesses nationwide over the next three years. For around a year, the AI-powered SoSafe platform has been providing Thai women with tailored advice on social issues including unintended pregnancies, sexual harassment, and domestic violence, amongst others. Primarily used by women and girls in vulnerable situations, SoSafe contains verified information for youth, women and the elderly about their social benefits and rights. The impact has been palpable: SoSafe is accessible to 600,000 users across 14 pilot provinces, has improved communication between affected women and support services and has led to over 1,000 cases of domestic violence being reported to the authorities. The platform, delivered by the UN Population Fund (UNFPA), in cooperation with Thailand’s National Science and Technology Development Agency and other partners, detects keywords and provides automated responses to offer users timely support. The information on SoSafe comes from government databases and reliable sources, which helps ensure that users receive accurate information. In Indonesia’s 75,000 villages, decisions tend be made by middle-aged men, who are more likely to attend open debates and meetings. “Participation in village meetings is male dominated, and open voting can lead to stigmatization of those who may not agree with the head of the village, suppressing open discussion,” explains Dhany Oktaviany, the project manager of Social Innovation Platform (SIP). SIP, a project run by the UN Development Programme (UNDP) in support of Indonesia’s Ministry of Village, aims to change this situation. As part of SIP, an AI-enabled digital tool gathers the aspirations of villagers and generates recommendations for subsequent village planning. The application allows the village to send ideas in a wide variety of ways, from photos and videos to text and audio. They can also submit ideas anonymously, allowing different viewpoints to be expressed. “Across the Asia Pacific region, we are working to build the capacity of the UN system to take advantage of the latest technological trends and thereby accelerate progress towards the Sustainable Development Goals,” says David McLachlan-Karr, Director for Asia and the Pacific of the UN Development Coordination Office. “These projects are a great example of technological innovation at the UN, which is at the heart of the Secretary General’s reform agenda to make the UN more fit for the needs of the 21st century.”"
"In Gaza, a Christmas without a tree",https://news.un.org/en/story/2024/12/1158541,"For the second year in a row, Christmas arrived for the Christian community in the Gaza Strip without celebrations, as daily life remains a constant struggle.","No joys, no smiles; A family you choose; A wish for peace","In the Al-Mawasi area, west of Khan Younis, Tony Al-Masri, known as Uncle Tony, sits with his wife, Amal Aboud, and neighbour, Hossam Al-Khalili in front of their small tent. They sip coffee and reminisce about the Christmas celebrations they missed for another year. 78-year-old Uncle Tony was first displaced during the Nakba in 1948 from his birthplace, Haifa, where he was born in the Wadi Nisnas neighbourhood. His family was forced to flee to Palestinian refugee camps in Lebanon, where they lived in the Dbayeh camp, before returning Gaza Strip. “This is not the first time I have lost my home and loved ones,” he told UN News. He recalls the happiness and joy that filled Gaza during the holiday season before the seemingly endless war. “We used to celebrate Christmas, go to church for rituals, and exchange greetings. The priest would be present among us in the churchyard. Our neighbours in Gaza City would wish us well every year.” He says he used to travel to Bethlehem to visit his children and grandchildren, “but now, for the second year, we have been deprived of the holidays because of the war”. He shares that he and his wife Amal Aboud used to decorate a Christmas tree during the festive season and stay up late on Christmas Eve, buying cookies, cakes and other sweets. “The celebrations would begin after midnight. We would prepare our dinner, sit together, and have my sons and daughters by my side. But now, there is no one here. My wife and I will sit alone to celebrate, and we have no one else around. That is the hardest thing for me now."" Amal adds that every day in the Gaza Strip has been a challenge since the conflict began in October 2023. “There is no joy, no smiles, no holidays, no nothing. We are merely challenging time. At night, while you’re sleeping, you suddenly hear a loud explosion. You jump up like a madman. You don’t know what to do. You gather yourself and cry, but you can’t go back to sleep. There’s no safe place to rest. There’s no life. There’s nothing to make you happy or comfortable.” Despite the harsh conditions, the solidarity of Muslim neighbours in the camp west of Khan Younis offers a glimmer of hope. Hossam Al-Khalili, Uncle Tony’s neighbour in Gaza City before the displacement, searched for his Christian neighbour after his own family was displaced to Rafah. Upon learning that Tony was in Khan Younis, Mr. Al-Khalili decided to move nearby. “He is like a father to me. I brought him closer to me in the camp because he is an elderly man who needs someone to care for him and his wife. I brought him near so I and my children could help support him,” he says. “We eat and drink together, and we live as one family. Everything he needs, I help with, including going to the market for shopping.” Overwhelmed with nostalgia, Uncle Tony expresses his hope for peace and an end to the war soon. “I hope that 2025 will be a year of goodness for all nations, especially the Palestinian people. I hope that bloodshed and wars will stop, and people can once again experience the joy of the holidays. May God have mercy on all who lost their lives in the war,” he says. “My wish is for the beautiful days to return, for me to travel to see my grandchildren, daughters, and sons. That is my greatest wish.”"
General Assembly approves $3.72 billion UN budget for 2025,https://news.un.org/en/story/2024/12/1158531,"The General Assembly wrapped up the main part of its 79th session on Tuesday, approving a $3.72 billion budget for the United Nations for 2025 and adopting a new programme to support landlocked developing countries.",Programme of action for LLDCs,"The approved $3.72 billion regular budget (RB) for 2025 represents an increase of about $1 million over the Secretary-General’s October proposal to the Assembly’s Fifth Committee, which oversees administrative and budgetary matters. It also includes technical adjustments following the adoption of other resolutions and decisions by UN intergovernmental bodies since the proposed budget was submitted. The total budget appropriation for 2025 amounts to $3,717,379,600. The regular budget funds UN programmes across key areas, including political affairs, international justice and law, regional cooperation for development, human rights and humanitarian affairs, and public information. In addition, the Organization maintains a distinct budget for peacekeeping operations, with the fiscal cycle 1 July to 30 June, while the RB cycle aligns with the calendar year. In a separate action, the General Assembly adopted the Programme of Action for Landlocked Developing Countries for the Decade 2024-2034, aiming to tackle the unique challenges faced by nations without direct access to open seas. Landlocked developing countries (LLDCs) face significant hurdles in trade and development, relying on transit nations, which leads to higher trade costs, delays and reduced competitiveness in global markets. The Programme of Action identifies five priorities: promoting sustainable economic growth through innovation and structural transformation, enhancing regional trade integration, improving transport connectivity, building climate resilience, and ensuring effective implementation strategies. The new framework builds on the Vienna Programme of Action (2014-2024) and the Almaty Programme of Action (2003), which laid the groundwork for addressing the persistent obstacles plaguing LLDCs."
Tchaikovsky and America: A mutual fascination,https://news.un.org/en/story/2024/12/1158221,"Tchaikovky’s ballet The Nutcracker is now a staple of the holiday season. Less well-known is the famed Russian composer’s strong connection to the United States and, in particular, New York.",,"In November Denis von Meck, a descendant of the great composer, came to UN Headquarters to talk about Tchaikovsky’s relationship with the United States, and his important role in ensuring the success of New York’s iconic Carnegie Hall. Denis von Meck In the late nineteenth century New York lacked good quality venues for music performances, so a group of music lovers keen to see a new concert hall in the city turned to Andrew Carnegie, a well-known patron of the arts at the time. Carnegie was more interested in literature and building libraries, but his wife was a music lover. Through her, they succeeded in interesting him in the idea of funding what became Carnegie Hall. However, it was a risky venture: the Hall was far from the city centre in downtown New York, and the roads were poor. There were fears that few people would want to make the trip, so it was decided to invite Tchaikovsky, the most famous musician in the world, to attend a five-day festival, at which he would conduct. UN News: How did Tchaikovsky come to be so famous in the US? Denis von Meck: When Tchaikovsky composed his First Piano Concerto in 1875, he dedicated it to Nikolai Rubinstein, his director at the Moscow Conservatory and an outstanding pianist. However, Rubinstein demanded changes and, when Tchaikovsky declined, refused to perform it. Tchaikovsky turned to several musicians to perform the concerto, including Hans von Bülow, the German conductor and pianist, who agreed. The first performance took place in Boston, and the second in New York. Walter Damrosch, one of the leading German conductors and musicians of the time, heard it in New York and asked Tchaikovsky for more music. As a result, his works became widely circulated, and he became extremely popular in the US, far more so than in Europe and, perhaps, even more than in Russia. This success was a very pleasant surprise for Tchaikovsky, who left America with many great memories, and positive words about the country. UN News: If you look at the Wikipedia article about Tchaikovsky in English, there is an audio recording from 1890, which is believed to contain his voice. As an expert on the composer, do you think this is authentic? Denis von Meck: Yes, it is genuine. It was made at the end of his life, in the early days of sound recordings, and it is also available on YouTube. Researchers at Tchaikovsky Museum in Klin were able to fully decipher the words, and also identify all of the participants."
Making the digital and physical world safer: Why the Convention against Cybercrime matters,https://news.un.org/en/story/2024/12/1158526,Billions of people worldwide are set to benefit from enhanced safety online and in the physical world following the adoption of a legally binding treaty on cybercrime by the UN General Assembly.,A critical tool for a growing threat; Around-the-clock cooperation; Protecting children; Responding to victims’ needs; Improved prevention,"The 193 UN Member States adopted, by consensus, the historic Convention against Cybercrime – the first of its kind following five years of negotiations. Here are five key reasons why this landmark agreement matters for people everywhere: In 2023, 67.4 per cent of the world’s population accessed the Internet, according to the World Bank. People rely on connectivity for tasks ranging from communication and shopping to advanced research and innovation. However, this connectivity also exposes more than two-thirds of the global population to the dangers of cybercrime. For those on the wrong side of the digital divide, the lack of resilience further increases vulnerability once they get online. Cybercriminals exploit digital systems using malware, ransomware, and hacking to steal money, data, and other valuable information. Information and communications technology (ICT) are also used to facilitate crimes such as drug trafficking, arms smuggling, human trafficking, money laundering and fraud. Regions like Southeast Asia have been described as “ground zero” for organized cybercrime operations, which are often highly sophisticated and coordinated. The threat is escalating, undermining economies, disrupting critical infrastructure, and eroding trust in digital systems. Until now, there has been no globally negotiated convention on cybercrime. The new Convention against Cybercrime will enable faster, better-coordinated, and more effective responses, making both digital and physical worlds safer. Investigating transnational crimes, whether online or offline, depends heavily on electronic evidence, which poses unique challenges for law enforcement. One major challenge is the decentralized nature of data, networks, and service providers, with potential evidence often scattered across multiple jurisdictions. Additionally, electronic evidence must frequently be accessed quickly to prevent tampering or deletion through normal processes. The Convention focuses on frameworks for accessing and exchanging electronic evidence, facilitating investigations and prosecutions. States Parties will also benefit from a 24/7 network to boost international cooperation, enabling assistance with investigations, prosecutions, crime proceeds recovery, mutual legal assistance, and extradition. Online platforms such as social media, chat apps and games offer anonymity that predators can exploit to groom, manipulate, or harm children. The Convention is the first global treaty to specifically address sexual violence against children committed with information and communication technologies (ICT). By criminalising these offenses, the Convention equips governments with stronger tools to protect children and bring perpetrators to justice. Cybercrime affects people everywhere, and every victim deserves adequate support. The Convention encourages States to provide victims with access to recovery services, compensation, restitution, and the removal of illicit content. This support will be delivered according to each country’s domestic laws. Responding to cybercrime after it occurs is not enough. Preventing cybercrime requires robust investments in proactive measures, which the Convention against Cybercrime strongly emphasizes. It urges States to develop comprehensive prevention strategies, including training for public and private sectors, offender rehabilitation and reintegration programmes, and support for victims. With these measures, the Convention aims to reduce risks and manage threats effectively, fostering a safer digital environment for all."
